info,timestamp
1TOTCFLX1E62CBDAFT,5:54:39 AM
1TPKU4JX19KV8HRAF2,6:01:10 AM
1TON5J3X1G8F55ENAU,6:01:16 AM
1TPKS7KX16G10F8AFH,6:17:32 AM
1TPKI2UX165R8C9AFH,6:18:13 AM
1TP6EPHX1G8B8DAVFV,6:35:41 AM
1TOQHALX1BFGORDAFY,6:35:54 AM
1TONFIVX1G6UHJVVM5,6:36:40 AM
1TP3FVBX1G5IURKASS,6:40:07 AM
1TPH8EDX1G6L8J1ASV,6:40:10 AM
1TP12C8X1DVCK6KAND,6:42:24 AM
1TOVE5KX1G3Q847AFK,6:50:08 AM
1TPIIJDX1G4F7Q4AF9,6:51:50 AM
1TOPSKJX1G3UQRDAF1,6:51:51 AM
1TOSUULX1G37EO8AFL,6:53:11 AM
1TPJO3JX1G8Q9O5AF9,6:53:15 AM
1TP3URMX1G4ND7JASI,6:53:17 AM
1TP4RKQX0VH834OAF5,6:55:17 AM
1TOPRQ6X1G3M9SNAFK,6:55:45 AM
1TP4A02X1642QFLAFY,6:55:46 AM
1TPBRT5X1G50ISHAS4,6:56:14 AM
1TP5UN5X1G901C1AFY,6:56:27 AM
1TPHEDNX1G1P5UQAF5,6:56:30 AM
1TP2E9TX15CJSTHAFJ,6:56:54 AM
1TP5L2OX1FT0FMANFR,6:56:55 AM
1TORRQSX1G5M380ASE,6:56:56 AM
1TPF1IVX1G3TLJLAFC,6:56:58 AM
1TP63TUX1FSJ87NASP,6:57:51 AM
1TPCEK5X1GAR9AUASJ,6:57:54 AM
1TP12C8X1DVCK6KAND,6:58:01 AM
1TP9UKCX1685PAJASS,6:58:54 AM
1TOVLE3X1GCE47RASG,6:58:57 AM
1TP05NDX1G9UVH2ASB,6:59:01 AM
1TP0HKFX15A3NUKASF,6:59:02 AM
1TPKINHX15D3ST0AFZ,6:59:03 AM
1TPKF8GX168QL7PASJ,6:59:09 AM
1TPD2S8X1ET96LJASU,6:59:11 AM
1TPF6LTX1GBVSTKAF7,6:59:34 AM
1TP2F11X1G7QEG5AFV,6:59:36 AM
1TPI414X1GA0H9BASH,7:00:00 AM
1TPIU9GX1FVC7I2AS9,7:00:02 AM
1TOQ3H2X1G0HA5TAFJ,7:01:08 AM
1TPE4DKX1FR4AH0AFB,7:01:12 AM
1TOP2L4X19BLSCRAFF,7:01:15 AM
1TP5E75X1FTN00PAS0,7:01:40 AM
1TPAH1PX1GCC7ROAS3,7:01:44 AM
1TOQCPJX1GARDMLASR,7:02:15 AM
1TOV8CDX1GA5G3FAFQ,7:02:25 AM
1TPERRRX1G9NHTAASB,7:02:28 AM
1TP4VVRX1G8BUVMVFU,7:03:08 AM
1TP8TOSX1G8K1SRAFF,7:03:15 AM
1TP821PX1G5BEFINF0,7:03:16 AM
1TP648KX1GA2NULAFE,7:04:15 AM
1TPJKFJX1G9K63BAFM,7:05:26 AM
1TPDRN8X1G5TPM8AF0,7:05:31 AM
1TPBN04X1FVEK6JAFQ,7:05:35 AM
1TOUE3LX165B40UAS6,7:05:38 AM
1TP3V6BX1GA0HHBASI,7:05:41 AM
1TP4RKQX0VH834OAF5,7:06:43 AM
1TPHDF1X1GC6RINASU,7:06:50 AM
1TP1VADX1G978MDAFX,7:07:40 AM
1TP5GURX1G9GCIJAF8,7:07:42 AM
1TP9D8NX1ENKO9IAFK,7:07:51 AM
1TP0ATPX14RQG6EAFI,7:07:53 AM
1TPA5DFX1GAHK61AFL,7:08:44 AM
1TP0UO8X1G406JIAFJ,7:08:46 AM
1TPKJKLX1G99R58AFL,7:08:48 AM
1TP843BX18JDBE0ASS,7:09:15 AM
1TPC9MMX1G6EUMUASW,7:09:18 AM
1TOTMOOX1DOISTCNFL,7:09:20 AM
1TPDQO6X1G3MKNKAS3,7:09:29 AM
1TPDVO7X1G8F74JASG,7:09:32 AM
1TP547RX1GB44I0AS5,7:10:10 AM
1TPIMPRX1GBHIGVASO,7:10:15 AM
1TPJRSAX1G4QQ2VASX,7:10:17 AM
1TOUSMDX1G8PM1IASU,7:10:18 AM
1TOODP1X1GAOHAJAS2,7:10:20 AM
1TOQUATX1GBHIKJAFP,7:12:57 AM
1TOQ2O9X15QT815ASY,7:14:29 AM
1TPD1FUX1G6NBC4ASN,7:15:14 AM
1TOSIR9X1G9K7S4ASZ,7:15:16 AM
1TOV5SCX1GAJQC3ASD,7:15:19 AM
1TP7RLUX12V8LR3ASG,7:15:20 AM
1TPAJEHX1GARPDHAFJ,7:15:22 AM
1TPGGOAX19HTE2IAFX,7:15:23 AM
1TPFQQNX164V1SKAFB,7:15:24 AM
1TP96P8X19FDKH2AFA,7:15:26 AM
1TPKLQMX1G8RD1EAF5,7:15:57 AM
1TOSD0PX1DOG83RAFZ,7:16:00 AM
1TPD6JLX1G83T2CAFF,7:16:03 AM
1TOVDN2X1G8F1ORAFL,7:16:27 AM
1TP1778X1FKCJL2AFR,7:18:00 AM
1TP6K2UX1FLD71AAFB,7:18:06 AM
1TOO7BTX1FKT6QUAFD,7:18:08 AM
1TOTQLDX1G9DHI7AF6,7:22:50 AM
1TP0IN8X1FUIKF8AFC,7:23:39 AM
1TOSN00X1E2M95QAFC,7:23:41 AM
1TPJUEGX1G6VFTDASJ,7:26:18 AM
1TPC9S3X1G643V6AFK,7:27:04 AM
1TOUQ9PX1GAUC7SAFF,7:27:05 AM
1TOR4ACX1GBJ1HGAF5,7:27:08 AM
1TOUQKNX1G9DACIAFY,7:27:14 AM
1TOO55AX1DN7J1PAF5,7:30:35 AM
1TOR9KKX1GAPAEFAFJ,7:30:37 AM
1TPELKJX15UTSSOAFO,7:30:39 AM
M11LILO000ET9R2OMark                Edumdie                    APU2US CF00      GS11GBCGIBDIPTPDVBU,7:30:49 AM
1TPIN9PX168FICNASG,7:31:56 AM
1TPD6TJX1GA43DGAFM,7:31:58 AM
1TP688KX1GA324IAF9,7:31:59 AM
1TP2AJGX1GAIJCQAFW,7:32:01 AM
1TP5OR1X11HTBLPAF8,7:32:03 AM
1TP3P6JX1FTP9QUAFO,7:32:04 AM
1TP819UX1FMG5CUAFH,7:32:06 AM
1TP3LCMX1FRVA1PAFU,7:32:07 AM
1TORLQVX1612CM9AFT,7:32:12 AM
1TP2NCRX1G6RGC7AFI,7:32:14 AM
1TPBK7VX1G7ML02NFT,7:33:00 AM
1TPH74LX1G4JI47NF2,7:33:17 AM
1TPJ21RX1G4PQ5BAFU,7:33:36 AM
1TOUVEDX16BJMN8AFC,7:33:39 AM
1TOU65UX1EQA9P7ASS,7:34:19 AM
1TP7O3HX1D3RSA3AFE,7:34:50 AM
1TPFLMOX1E04ULUAFP,7:34:52 AM
1TPG1Q2X1G7T2AQAF5,7:34:54 AM
1TP6PFIX11UF3G0AFH,7:35:01 AM
1TP9NADX1FJ6S4EAFK,7:35:02 AM
1TP0H1LX1G15890AFI,7:35:04 AM
1TP3P6VX1G806HLAF2,7:35:08 AM
1TP1B87X1DRAK8BAFT,7:35:19 AM
1TP0TVRX1ESES7MAF5,7:35:21 AM
1TP3880X1FKUVPTAF9,7:35:55 AM
1TPDUIOX1FTNBFFAF6,7:35:57 AM
1TOT5PDX1FKVKR5NFP,7:35:59 AM
1TOUCIOX1FS6S9NAF4,7:36:01 AM
1TPF5S1X12351I6AFI,7:36:03 AM
1TOUBAQX1FQ0JQLAFJ,7:36:04 AM
1TP5UA0X1FSK9S0AFU,7:36:06 AM
1TOP4CVX1648BNAAFM,7:36:17 AM
